bcg_coverage	ba_coverage	ba31_hits	ba31_coverage	bcerg31_coverage	model_fit	model_99pi	ba_detectable	grey_zone	kraken
50	0.16	25034.4	0.11094	30.549525	5249.7071428968	5581.07819024102	TRUE	FALSE	39507
50	0.17	26057.1	0.11579	30.59456	5257.44607046377	5588.8171365405	TRUE	FALSE	40547
50	0.18	27272.65	0.12142	30.52824	5246.04947501042	5577.42051351065	TRUE	FALSE	41817
50	0.19	28257.85	0.12625	30.42014	5227.47329936949	5558.84429304896	TRUE	FALSE	42711
5	0.02	3137.55	0.01323	3.03148	520.937140906407	852.30190178258	TRUE	TRUE	4809
50	0.2	29766.15	0.133225	30.594455	5257.42802699992	5588.79909303294	TRUE	FALSE	44055
5	0.03	4549.45	0.01917	3.091285	531.214182388425	862.57894575566	TRUE	TRUE	6294
5	0.04	5962.9	0.02524	3.080485	529.35828324946	860.723046163242	TRUE	TRUE	7903
5	0.05	7289.6	0.0309	3.08513	530.156491721727	861.521254830342	TRUE	TRUE	9329
5	0.06	8313.25	0.035465	3.11345	535.023071686124	866.387835988961	TRUE	TRUE	10504
5	0.07	9513.55	0.04065	3.088915	530.80691563293	862.171678900522	TRUE	TRUE	12019
5	0.08	10913.55	0.04683	3.086255	530.349814548703	861.714577704549	TRUE	TRUE	13316
5	0.09	11913.7	0.051095	3.095645	531.963415744525	863.328179295272	TRUE	TRUE	14586
5	0.1	13243	0.05697	3.09798	532.36466801207	863.729431661202	TRUE	TRUE	16119
5	0.11	14446.7	0.062425	3.08757	530.575787453123	861.9405506642	TRUE	TRUE	17395
5	0.12	15834.45	0.06837	3.1161	535.478454345222	866.843218760364	TRUE	TRUE	18917
5	0.13	17354.55	0.07532	3.12018	536.17957179772	867.544336385957	TRUE	TRUE	20303
5	0.14	18309.1	0.079495	3.1497	541.252362777557	872.617128624938	TRUE	TRUE	21502
5	0.15	19811	0.08631	3.13956	539.509879697085	870.874645110618	TRUE	TRUE	23120
